ID,Variant,Tiktok Category,Num. of Orders,VLOOKUP Name,Category,Sub-category,Product Name,Product Variant,Brand,Pack Size
1732648369674028335,"Linh Lan - lôi cuốn, quyến rũ",Sữa tắm & Xà phòng,1,"SiMee Sữa Tắm Nước Hoa SiMee Hương Hoa Trà & Linh Lan - Cung Cấp Dưỡng Ẩm, Sạch Mịn Da - Chai 480ml - Hương Thơm Tinh Tế Từ Pháp",Chăm sóc cá nhân,Chăm sóc cơ thể,Sữa Tắm Nước Hoa Linh Lan,Chai 480ml,SiMee,0.48
1733315471993439535,"Linh Lan - lôi cuốn, quyến rũ, 480ml",Sữa tắm & Xà phòng,1,"SiMee Sữa Tắm Nước Hoa SiMee Hương Hoa Trà & Linh Lan - Cung Cấp Dưỡng Ẩm, Sạch Mịn Da - Chai 480ml - Hương Thơm Tinh Tế Từ Pháp",Chăm sóc cá nhân,Chăm sóc cơ thể,Sữa Tắm Nước Hoa Linh Lan,Chai 480ml,SiMee,0.48
1732817537273595183,Mặc định,Thảm phòng tắm,11,[HÀNG TẶNG] Thảm lau chân nhà tắm thấm hút nước tốt kích thước 40x60 cm - Thảm chân phòng tắm kiểu dáng đẹp,Quà tặng,Quà tặng,Thảm lau sàn,,No-brand,0
1734858567161447727,"Atiso, Hoa Cúc, Tim Sen",Trà,6,[HOÀNG MÈO x COMBO 3 TRÀ THẢO MỘC] KINKA Trà thảo mộc - Hộp 50g (2g x 25 túi),Trà & Cà phê,Trà thảo mộc,Trà thảo mộc Combo 3 Hộp,3 hộp 50g,Kinka,0.15
1734858567161513263,"Atiso, Hoa Cúc, Trà gừng",Trà,2,[HOÀNG MÈO x COMBO 3 TRÀ THẢO MỘC] KINKA Trà thảo mộc - Hộp 50g (2g x 25 túi),Trà & Cà phê,Trà thảo mộc,Trà thảo mộc Combo 3 Hộp,3 hộp 50g,Kinka,0.15
1732643907999663407,Hộp 20 gói,Trà,1,"[HÀNG CHÍNH HÃNG] Diabetea KINKA Trà Hoa Vàng Gia Lai & Dây Thìa Canh - Trà Túi lọc 40g (20 gói x 2g) - Chứng Nhận ISO, HACCP, VietGAP",Trà & Cà phê,Trà hoa vàng,Trà hoa vàng Dây Thìa Canh,Hộp 40g,Kinka,0.04
1732822393159124271,Hộp 25 gói,Trà,80,[HÀNG CHÍNH HÃNG] KINKA Trà túi lọc Atiso - Hộp 50g (25 gói x 2g) - Trà thảo mộc giúp thanh lọc cơ thể & tăng cường hệ miễn dịch - Hương vị ngọt thanh tự nhiên,Trà & Cà phê,Trà thảo mộc,Trà Atisô,Hộp 50g,Kinka,0.05
1732641548455937327,Mặc định,Trà,3,KINKA Trà Hoa Vàng Gia Lai - Set Trà Phúc Duyên KINKA Hộp 50g + 10 Gói Túi Lọc - Sản Phẩm OCOP 4 Sao VietGAP - Tự Hào Hàng Việt,Trà & Cà phê,Trà hoa vàng,Set trà Phúc Duyên,Set Hộp 50g + 10 gói túi lọc,Kinka,0.06
1732642423431464239,Mặc định,Trà,6,"[HÀNG CHÍNH HÃNG] Fountain of Youth KINKA Trà Hoa Vàng Gia Lai: Lá Xanh & Hoa - Túi 60 gói x 2g - Túi lớn tiết kiệm hơn - Chứng Nhận ISO, HACCP, VietGAP",Trà & Cà phê,Trà hoa vàng,Trà hoa vàng Lá Xanh & Hoa,Túi 120g,Kinka,0.12
1732642922078111023,Mặc định,Trà,2,"[HÀNG CHÍNH HÃNG] Puritea KINKA Trà Hoa Vàng Gia Lai & Atiso - Hộp 20 gói x 2g - Giúp hỗ trợ chức năng gan, chống oxy hoá",Trà & Cà phê,Trà hoa vàng,Trà hoa vàng Atisô,Hộp 40g,Kinka,0.04
1732643897884968239,Mặc định,Trà,2,"[HÀNG CHÍNH HÃNG]Calmellia KINKA Trà Hoa Vàng Gia Lai & Tim Sen - Trà Túi Lọc 40g (20 gói x 2g) - Trà Giúp An Thần, Ngủ Ngon- Chứng Nhận ISO, HACCP, VietGAP",Trà & Cà phê,Trà hoa vàng,Trà hoa vàng Tim Sen,Hộp 40g,Kinka,0.04
1732650909437691183,Mặc định,Trà,3,"[HÀNG CHÍNH HÃNG] KINKA Trà râu bắp (râu ngô) - Trà thảo mộc lợi tiểu, thanh nhiệt, Hộp 50g (25 túi x 2g) | Trà túi lọc",Trà & Cà phê,Trà thảo mộc,Trà râu bắp,Hộp 50g,Kinka,0.05
1732805336054990127,Mặc định,Trà,11,"[HÀNG CHÍNH HÃNG]KINKA Trà tim sen linh chi - giúp an thần, ngủ ngon, tốt cho tim mạch, Hộp 50g (25 túi x 2g)",Trà & Cà phê,Trà thảo mộc,Trà tim sen linh sen,Hộp 50g,Kinka,0.05
1732805794262582575,Mặc định,Trà,1,[HÀNG CHÍNH HÃNG] KINKA Trà Xạ Đen - Hỗ Trợ Thanh Lọc Cơ Thể Tăng Cường Sức Khỏe - 50g (2g x 25 Túi Lọc) - Trà thảo mộc,Trà & Cà phê,Trà thảo mộc,Trà xạ đen,Hộp 50g,Kinka,0.05
1732806201111643439,Mặc định,Trà,1,"[HÀNG CHÍNH HÃNG] KINKA Trà Nhàu Túi Lọc 200g (2g x 100 Túi) - Thanh Nhiệt, Hỗ Trợ Tăng Cường Sức Khỏe - Trà Thảo Mộc",Trà & Cà phê,Trà thảo mộc,Trà nhàu,Túi 200g,Kinka,0.2
1732823904017745199,Mặc định,Trà,1,"[HÀNG CHÍNH HÃNG] KINKA Trà khổ qua (Trà mướp đắng) 200g (100 gói x 2g) Trà Túi Lọc, Trà thảo mộc",Trà & Cà phê,Trà thảo mộc,Trà khổ qua,Túi 200g,Kinka,0.2
1732828303379301679,Mặc định,Trà,5,"[HÀNG CHÍNH HÃNG] KINKA Trà Hoa Cúc - Hộp 50g (2g x 25 túi) - Hỗ trợ an thần, ngủ ngon",Trà & Cà phê,Trà thảo mộc,Trà hoa cúc,Hộp 50g,Kinka,0.05
1732828553064973615,Mặc định,Trà,2,[MUA 3 TẶNG 1] KINKA Chè Dây Túi Lọc - Hộp 50g (2g x 25 túi) Trà Thảo Mộc Hỗ Trợ Tiêu Viêm & Giải Độc Cơ Thể Tự Nhiên,Trà & Cà phê,Trà thảo mộc,Chè dây,Hộp 50g,Kinka,0.05
1732828584755103023,Mặc định,Trà,3,[HÀNG CHÍNH HÃNG] KINKA Trà lá ổi 200g (100 gói x 2g) - Trà thảo mộc,Trà & Cà phê,Trà thảo mộc,Trà lá ổi,Túi 200g,Kinka,0.2
1732828595899368751,Mặc định,Trà,5,"[HÀNG CHÍNH HÃNG] Diabetea KINKA Trà Hoa Vàng Gia Lai & Dây Thìa Canh - Túi tiết kiệm (60 gói x 2g) - Chứng Nhận ISO, HACCP, VietGAP",Trà & Cà phê,Trà hoa vàng,Trà hoa vàng Dây Thìa Canh,Túi 120g,Kinka,0.12
1732847223164798255,Mặc định,Trà,1,[HÀNG CHÍNH HÃNG] KINKA Trà túi lọc Atiso - Túi 100 gói tiết kiệm 200g (100 gói x 2g) - Trà thảo mộc giúp thanh lọc cơ thể & tăng cường hệ miễn dịch - Hương vị ngọt thanh tự nhiên,Trà & Cà phê,Trà thảo mộc,Trà Atisô,Túi 200g,Kinka,0.2
1732880211748160815,Mặc định,Trà,1,"[HÀNG CHÍNH HÃNG]KINKA Trà gừng hòa tan 200g (20 gói x 10g) - Gừng già, gừng gió - Làm ấm cơ thể, tăng sức đề kháng, phòng chống cảm lạnh",Trà & Cà phê,Trà thảo mộc,Trà gừng hòa tan,Hộp 200g,Kinka,0.2
1732880232589329711,Mặc định,Trà,26,"[HÀNG CHÍNH HÃNG]KINKA Trà gừng hòa tan 100g (10 gói x 10g) - Gừng già, gừng gió - Làm ấm cơ thể",Trà & Cà phê,Trà thảo mộc,Trà gừng hòa tan,Hộp 100g,Kinka,0.1
1732880317605053743,Mặc định,Trà,11,"[HÀNG CHÍNH HÃNG] KINKA Trà gừng túi lọc 50g (25 gói x 2g) - Không đường, trà thảo mộc - Hỗ trợ tiêu hóa, làm ấm cơ thể, phòng chống cảm lạnh",Trà & Cà phê,Trà thảo mộc,Trà gừng túi lọc,Hộp 50g,Kinka,0.05
